distance,timedelta,temperature
1.9681,7,8.9
9.023,29,4.6
2.9168000000000003,17,7.4
1.2628,23,10.6
2.7543,38,4.0
6.0392,17,7.6
3.3971,7,1.3
5.21,10,4.7
6.7521,25,7.7
0.4086,34,6.4
8.3113,23,3.7
3.3836,30,14.4
9.7974,37,0.9
6.887899999999999,39,4.6
8.478200000000001,22,5.3
0.0,0,8.7
0.020300000000000002,18,0.2
6.3945,38,4.5
3.8984,8,5.5
7.5637,20,6.0
1.7917,9,8.2
0.3476,35,7.6
2.8788,18,3.3
5.130199999999999,20,9.3
2.4519,7,1.0
3.907,52,4.4
12.3581,16,6.1
0.6283,21,4.5
5.439,40,4.6
2.4480999999999997,21,2.7
0.0095,40,1.1
0.0001,44,6.0
2.175,46,2.1
0.5682,13,2.7
5.8586,26,4.4
0.0,3,9.3
3.8399,11,7.2
2.2595,7,10.5
1.3735,4,3.9
8.1532,27,3.4
6.245100000000001,14,3.8
6.611,20,10.9
5.6643,18,6.5
2.2287,7,4.3
4.8713999999999995,11,5.1
8.736600000000001,38,7.2
0.255,24,1.1
3.7269,21,4.1
8.1885,21,4.4
6.4761999999999995,15,6.9
2.7835,12,9.4
5.431100000000001,17,8.2
2.0563000000000002,9,0.8
9.287,18,5.2
13.2782,25,0.9
5.2533,42,4.6
0.09309999999999999,53,9.2
0.3479,42,3.9
7.6078,49,7.1
1.8111,6,4.8
1.0285,6,4.5
1.7410999999999999,8,7.4
0.0,2,9.4
3.9113,53,4.7
5.4152,15,4.7
12.0466,36,11.3
5.8605,17,2.2
2.6923000000000004,35,2.9
11.942,32,2.9
2.4543000000000004,12,5.1
7.9794,16,3.8
2.6788000000000003,9,4.3
9.972700000000001,46,6.9
4.8331,28,7.3
0.4472,25,5.4
9.0345,57,5.1
2.9,22,2.8
2.2235,11,7.9
2.8233,25,5.8
2.9042,22,9.5
1.6662000000000001,7,2.5
0.0047,26,8.3
6.5809,12,4.1
9.993,21,7.0
11.7281,34,3.7
5.2249,34,5.1
3.6999,14,9.2
6.174,15,4.1
1.4349,15,7.8
2.7068000000000003,10,6.5
1.6162,7,3.3
0.0038,28,3.8
0.32539999999999997,56,8.0
0.0060999999999999995,19,8.0
1.6535,39,9.4
0.31810000000000005,32,4.8
0.0,0,4.7
14.4077,30,3.5
11.404,38,4.1
5.8533,4,7.9
2.71,14,4.4
10.7389,20,3.1
1.7137,5,14.3
2.3614,32,3.0
4.092,12,4.1
4.0634,15,4.1
4.140899999999999,12,6.0
0.0,5,6.6
3.2632,16,7.8
0.0,2,3.8
0.9264,7,4.8
0.8309,9,10.5
3.3516,8,6.0
8.2274,29,6.2
3.5159000000000002,16,4.1
2.7651,21,7.1
0.0,7,9.4
4.4411000000000005,19,4.6
8.1526,32,6.6
2.1574,16,2.9
2.1929000000000003,9,0.2
4.608899999999999,12,4.7
3.1486,28,5.1
0.038700000000000005,18,3.7
5.940300000000001,3,10.9
2.9094,11,9.4
13.235700000000001,25,2.6
0.0015,36,8.3
11.0551,37,4.3
1.3965999999999998,7,9.1
7.0236,28,6.4
2.8095,13,4.6
5.3564,31,12.0
6.4405,18,8.3
6.777,19,8.7
5.718,16,5.1
3.3034,19,2.9
0.0019,9,2.1
2.3205999999999998,27,7.4
2.0471,29,2.8
1.1947999999999999,12,3.5
0.4106,28,4.6
6.9033,25,7.3
0.0,0,2.7
4.155399999999999,11,5.2
0.7282000000000001,27,4.3
0.6297,5,5.3
3.5373,19,8.7
6.1097,17,3.0
0.2701,54,7.0
5.5588,16,3.4
3.1325,27,7.5
4.8105,11,4.7
0.5909,3,7.1
4.5831,11,8.2
4.0146,21,4.6
1.7239,12,7.3
0.1374,21,8.4
1.3009000000000002,12,2.0
4.7453,14,4.2
1.4601,4,7.7
0.4119,6,4.8
10.341299999999999,3,4.4
6.6853,22,6.1
6.1616,34,2.7
3.0978000000000003,16,12.2
7.1063,21,4.3
9.171899999999999,24,4.6
3.7508000000000004,42,8.5
2.1210999999999998,6,6.7
5.4515,17,9.9
0.36260000000000003,2,3.1
0.6947000000000001,0,5.2
6.136699999999999,21,3.7
8.1092,23,8.9
0.0091,38,2.0
12.399799999999999,21,1.9
2.291,37,5.8
2.877,12,9.3
9.048200000000001,21,1.4
0.0,9,13.9
2.3175,10,2.7
1.6785,13,9.5
4.6564,12,2.4
1.1799000000000002,8,6.4
4.256600000000001,9,3.9
