timedelta,rangeDiff,batteryPctDiff,distance,temperature
42,14,12,1.1051,7.7
24,10,8,7.051,5.1
21,12,4,5.1735,10.4
16,7,7,8.466299999999999,6.2
7,6,3,1.3015,4.0
11,5,4,2.821,4.5
29,13,9,5.9312,7.3
11,5,4,6.6368,5.1
3,3,1,0.0047,7.6
11,37,5,2.309,4.5
5,14,6,0.0007,4.1
12,-10,4,4.2814,6.2
12,15,9,9.1839,3.9
26,16,7,4.4521999999999995,3.2
16,7,4,4.230899999999999,4.9
8,8,3,1.8784,3.4
9,5,3,1.932,9.5
12,11,6,4.524,4.3
27,14,11,8.707799999999999,7.6
18,54,15,2.4268,2.1
33,14,9,7.485399999999999,1.9
14,3,2,2.9581,4.9
19,10,6,5.99,4.2
12,8,7,6.3889,6.0
16,17,7,4.1736,9.9
53,14,8,5.149100000000001,11.9
19,5,0,0.1974,9.0
21,-7,6,6.8937,4.6
9,4,2,0.7316,8.2
14,3,4,5.1918,7.8
7,6,3,2.3409,4.6
22,12,7,5.033600000000001,9.6
14,15,4,4.3517,6.0
20,19,10,6.900600000000001,2.3
4,2,0,1.2525,6.3
6,3,2,1.9782,5.3
18,37,5,3.3514,3.0
18,-3,4,3.6041,11.7
14,5,4,4.3755,4.8
19,25,5,3.9908,6.6
22,38,7,2.6321999999999997,8.3
42,32,9,1.7525,4.7
6,15,5,0.1421,6.3
29,15,16,0.0007,6.0
8,2,2,2.7546999999999997,13.9
8,8,4,2.9099,3.6
9,1,1,0.8492000000000001,7.3
14,9,4,4.735399999999999,3.8
4,7,3,1.1742000000000001,1.4
5,4,2,0.027899999999999998,2.0
0,0,0,0.0,6.2
44,-86,-59,3.7925999999999997,6.9
10,13,2,1.2301,3.5
12,9,4,2.7191,11.9
22,18,13,7.2018,7.8
15,27,3,4.4074,8.5
10,37,6,3.7768,7.6
5,3,2,0.4348,3.9
39,8,5,2.0570999999999997,7.8
14,6,5,5.4436,6.1
16,4,6,7.7794,4.8
1,0,0,0.0,10.2
14,9,9,6.6716999999999995,0.4
5,2,2,1.4890999999999999,12.9
27,19,11,8.6651,5.7
29,15,11,0.19669999999999999,3.6
17,16,9,7.144100000000001,4.9
14,0,3,5.0457,3.3
10,11,3,2.0370999999999997,4.2
36,50,26,2.0925,8.1
22,7,10,5.6964,4.4
14,17,11,7.6673,3.7
18,19,7,5.7043,12.0
45,44,32,0.9735,9.0
25,16,11,2.3728000000000002,5.1
12,12,8,3.2725999999999997,2.0
19,20,14,9.4454,10.7
25,16,9,7.6867,4.6
0,0,0,0.0,6.3
12,12,6,4.6928,2.3
12,-1,4,3.5171,3.5
4,14,2,1.6874,5.1
23,33,7,8.0708,2.1
16,41,19,11.6778,0.4
14,38,10,7.0475,1.9
3,12,6,2.2380999999999998,5.3
21,-101,5,3.4965,12.5
13,22,6,2.8124000000000002,2.6
25,8,9,7.7962,2.6
12,9,4,0.5532,4.1
0,0,0,0.0,5.3
14,3,3,4.7028,10.2
20,52,12,9.8861,2.3
25,17,11,0.5245,6.6
16,42,6,9.4826,4.4
24,14,6,4.4175,8.7
9,1,1,1.5195,4.5
18,4,10,13.3639,4.3
7,12,9,7.5796,4.5
7,1,0,0.0,6.5
