distance,timedelta,temperature
7.0898,28,7.3
5.6257,15,1.5
6.3535,24,4.7
4.718,41,5.0
1.8062,7,4.4
2.7693000000000003,13,4.2
0.0,4,2.6
3.244,23,2.0
6.2303999999999995,24,4.4
0.008199999999999999,18,10.3
6.5037,17,2.6
4.9508,29,4.4
10.6298,40,4.2
2.5797,7,2.0
2.6782,13,10.9
2.4737,10,4.8
10.043299999999999,25,11.4
5.9855,12,2.3
12.1637,47,2.7
2.1428000000000003,4,3.6
0.0948,35,5.0
2.3434,15,5.9
7.920100000000001,49,6.7
2.9133,11,4.7
4.7432,16,6.8
3.8801,18,5.9
6.5005,14,3.7
1.422,7,8.2
8.8825,27,7.0
10.1355,25,4.1
4.8761,41,2.8
2.9814000000000003,16,12.0
2.7444,14,5.3
2.0362,5,7.3
1.7812999999999999,6,5.0
8.252799999999999,20,2.7
0.9822000000000001,20,4.4
0.22190000000000001,1,10.6
5.279,14,7.8
2.6176999999999997,19,3.7
3.9026,13,5.1
0.9067999999999999,7,9.5
0.0717,38,3.9
3.4221,20,8.2
2.0505,16,1.5
5.8443000000000005,16,9.1
2.002,5,5.4
17.9825,2,9.2
4.7983,11,9.3
7.977399999999999,27,0.5
0.7466,48,8.7
1.7775,30,2.9
7.7699,13,6.7
1.7113,18,4.0
3.449,8,8.8
11.2361,18,8.2
0.003,17,9.4
2.1262,7,4.8
6.5275,23,8.0
0.2548,25,1.4
3.1325,7,2.1
0.0115,36,2.7
3.9757,13,4.7
7.0184,24,4.0
5.043100000000001,28,5.3
6.146100000000001,12,2.2
3.4320999999999997,12,6.1
7.5581000000000005,31,0.6
0.3971,1,6.3
0.2265,33,9.4
1.5945,6,3.8
0.0075,50,4.7
1.1675,25,2.7
0.0,11,5.9
7.0463000000000005,26,5.3
0.0229,47,8.8
1.8240999999999998,7,4.5
2.644,6,2.2
5.4886,16,5.7
1.832,8,4.6
0.0,23,6.4
2.3371999999999997,6,2.3
8.492299999999998,21,4.6
0.0033,8,6.3
0.9001,8,8.1
3.5316,12,5.7
1.9509,5,4.1
9.0778,38,2.7
1.3199,3,6.0
3.688,17,9.2
1.1427,26,4.1
3.6919,11,4.6
1.7366,10,9.4
3.4765,11,8.7
3.3895,10,4.8
1.8102,8,5.9
0.0,1,4.2
6.730899999999999,18,4.4
10.0835,28,4.1
7.1376,13,4.6
0.1042,25,2.6
6.3264,16,4.6
4.4048,19,1.9
0.0711,24,4.2
4.4417,1,2.0
10.6051,42,3.1
1.9672,7,7.5
4.7273000000000005,4,9.4
3.9898000000000002,15,7.2
6.0779,23,2.0
7.973,45,5.3
4.6739,31,4.3
0.25,6,5.8
0.8643,13,2.3
4.130199999999999,14,4.7
3.2128,17,5.8
0.8959,33,4.4
3.1021,33,8.6
0.8623999999999999,29,3.7
2.2896,9,8.5
17.117,33,7.5
8.632200000000001,19,4.7
8.0272,26,10.4
4.1565,14,8.2
8.888,20,2.7
0.74,25,2.4
11.3305,39,5.4
6.8563,30,6.4
6.785399999999999,39,7.1
3.1364,13,7.6
14.6139,31,4.7
5.246899999999999,21,5.7
8.3771,33,7.7
3.9979,22,2.6
1.6869,11,8.3
0.0017,33,1.3
8.0298,22,2.9
5.568899999999999,25,4.3
8.8858,27,6.2
1.8368,8,4.9
3.5696,7,0.4
4.372199999999999,24,1.3
3.8073,15,2.9
8.4381,16,6.3
3.9804,13,0.2
5.1256,17,4.5
4.6044,20,14.0
3.5267,55,6.0
4.7282,25,5.5
0.0035,59,12.8
2.7802,6,2.7
4.0371999999999995,37,8.5
2.1314,7,8.8
5.2177,19,3.0
2.6397,54,6.9
12.6671,26,7.3
0.9627,15,6.1
4.8292,18,7.8
6.7627,15,3.9
4.6618,17,4.0
0.3542,35,5.8
0.0,11,6.9
7.1544,14,7.4
1.6489,8,0.4
1.8878,11,8.3
5.4338,21,2.6
1.3482,6,3.6
4.1321,14,6.4
0.0355,11,9.6
10.572899999999999,25,5.2
0.0,0,8.4
0.0024,5,6.5
5.3123000000000005,17,3.6
9.145100000000001,25,2.5
0.6831,11,7.9
2.757,22,4.5
0.616,3,5.0
0.5951000000000001,23,9.1
2.4571,56,10.2
3.4135999999999997,9,4.1
2.3318000000000003,12,4.8
2.6321999999999997,8,-0.1
0.0108,19,7.4
5.167800000000001,50,2.8
6.0548,11,0.6
4.6897,13,7.7
3.9453,36,4.0
7.355,19,7.9
0.3231,7,6.5
1.2626,5,10.5
7.008,12,7.8
1.8495,7,2.6
5.081899999999999,15,2.8
8.3587,33,3.4
7.4182,15,11.7
0.0,17,5.2
7.3108,13,7.5
4.8551,8,2.4
0.0,0,3.2
0.9881,3,5.1
2.0930999999999997,16,7.5
9.1844,22,4.7
2.1684,10,2.7
10.4363,20,2.6
8.2296,22,9.3
6.0069,10,9.7
0.0047,29,5.9
2.7648,9,4.6
16.0928,16,3.3
3.2324,10,7.6
2.3171999999999997,4,5.1
2.9560999999999997,7,4.0
10.4804,29,5.7
8.7352,17,6.8
7.7776000000000005,19,6.6
0.249,36,4.9
5.390899999999999,13,6.9
2.2245,46,6.4
10.5501,35,4.2
0.0055,11,8.0
3.6685,6,0.3
3.1629,10,7.9
6.4773000000000005,15,2.5
3.2499000000000002,59,1.9
0.0,0,7.4
4.0037,11,7.6
4.698600000000001,36,4.2
1.8095999999999999,8,8.8
5.7703999999999995,16,3.7
4.9052,15,5.3
3.9061,28,8.9
3.6333,14,9.6
5.9593,28,4.3
22.7044,29,5.3
1.3080999999999998,56,7.5
3.5803000000000003,6,5.2
17.983,38,4.6
4.6472,12,10.4
1.6770999999999998,5,9.5
25.3977,22,3.7
0.0,7,7.6
5.615399999999999,26,5.2
5.0115,15,0.8
2.8216,6,7.8
4.1503000000000005,11,7.7
1.8177999999999999,28,4.3
1.0354,3,5.0
3.4274,27,4.3
0.0746,4,0.6
0.101,7,13.6
3.4973,8,2.2
5.9367,28,2.8
4.0831,12,5.2
0.012199999999999999,30,14.0
0.030899999999999997,18,11.6
3.7085,19,5.4
5.6852,39,3.4
5.6455,13,3.9
0.0,4,14.4
7.581,26,5.3
20.0262,32,10.8
4.8436,13,7.1
3.9751,9,6.2
2.1819,16,7.8
5.3889,19,4.5
3.0575,12,6.2
1.0254,8,4.3
2.6281999999999996,8,10.4
0.6002000000000001,9,3.9
5.1315,12,1.4
4.4699,8,4.2
0.2545,5,2.0
2.0425999999999997,53,8.0
4.049300000000001,17,5.1
9.774700000000001,21,4.8
4.5777,12,4.2
7.3116,17,3.3
5.983,17,2.7
12.3448,48,2.4
0.0823,10,5.2
0.0,2,8.7
9.1789,23,4.6
4.7693,12,6.6
4.0589,18,6.5
0.0209,5,4.6
9.6894,28,12.2
5.9874,23,5.3
1.6572,25,8.3
0.2892,8,12.3
0.0135,24,5.3
2.6218000000000004,10,6.9
1.5872,26,8.7
0.213,34,5.3
